time [s],Cell Voltage [V],SOC [%]
918,3.568,17.60644419
919,3.568,17.62562332
920,3.568,17.64480245
921,3.5715,17.66398159
922,3.575,17.68316072
923,3.5715,17.70233985
924,3.568,17.72151899
925,3.568,17.74069812
926,3.568,17.75987725
927,3.568,17.77905639
928,3.568,17.79823552
929,3.568,17.81741465
930,3.568,17.83659379
931,3.568,17.85577292
932,3.568,17.87495205
933,3.568,17.89413119
934,3.568,17.91331032
935,3.568,17.93248945
936,3.568,17.95166858
937,3.568,17.97084772
938,3.568,17.99002685
939,3.568,18.00920598
940,3.568,18.02838512
941,3.5715,18.04756425
942,3.575,18.06674338
943,3.5715,18.08592252
944,3.568,18.10510165
945,3.568,18.12428078
946,3.568,18.14345992
947,3.568,18.16263905
948,3.568,18.18181818
949,3.569,18.20099731
950,3.57,18.22017645
951,3.569,18.23935558
952,3.568,18.25853471
953,3.568,18.27771385
954,3.568,18.29689298
955,3.568,18.31607211
956,3.568,18.33525125
957,3.568,18.35443038
958,3.568,18.37360951
959,3.571,18.39278865
960,3.574,18.41196778
961,3.571,18.43114691
962,3.568,18.45032605
963,3.568,18.46950518
964,3.568,18.48868431
965,3.568,18.50786344
966,3.568,18.52704258
967,3.568,18.54622171
968,3.568,18.56540084
969,3.568,18.58457998
970,3.568,18.60375911
971,3.568,18.62293824
972,3.568,18.64211738
973,3.568,18.66129651
974,3.568,18.68047564
975,3.57,18.69965478
976,3.572,18.71883391
977,3.571,18.73801304
978,3.57,18.75719217
979,3.569,18.77637131
980,3.568,18.79555044
981,3.568,18.81472957
982,3.568,18.83390871
983,3.57,18.85308784
984,3.572,18.87226697
985,3.573,18.89144611
986,3.574,18.91062524
987,3.5745,18.92980437
988,3.575,18.94898351
989,3.575,18.96816264
990,3.575,18.98734177
991,3.5745,19.00652091
992,3.574,19.02570004
993,3.5755,19.04487917
994,3.577,19.0640583
995,3.5755,19.08323744
996,3.574,19.10241657
997,3.576,19.1215957
998,3.578,19.14077484
999,3.5775,19.15995397
1000,3.577,19.1791331
1001,3.5775,19.19831224
1002,3.578,19.21749137
1003,3.5775,19.2366705
1004,3.577,19.25584964
1005,3.5775,19.27502877
1006,3.578,19.2942079
1007,3.578,19.31338703
1008,3.578,19.33256617
1009,3.5785,19.3517453
1010,3.579,19.37092443
1011,3.579,19.39010357
1012,3.579,19.4092827
1013,3.579,19.42846183
1014,3.579,19.44764097
1015,3.5785,19.4668201
1016,3.578,19.48599923
1017,3.5785,19.50517837
1018,3.579,19.5243575
1019,3.579,19.54353663
1020,3.579,19.56271577
1021,3.5785,19.5818949
1022,3.578,19.60107403
1023,3.5785,19.62025316
1024,3.579,19.6394323
1025,3.579,19.65861143
1026,3.579,19.67779056
1027,3.579,19.6969697
1028,3.579,19.71614883
1029,3.579,19.73532796
1030,3.579,19.7545071
1031,3.579,19.77368623
1032,3.579,19.79286536
1033,3.579,19.8120445
1034,3.579,19.83122363
1035,3.579,19.85040276
1036,3.579,19.86958189
1037,3.579,19.88876103
1038,3.579,19.90794016
1039,3.579,19.92711929
1040,3.579,19.94629843
1041,3.579,19.96547756
1042,3.579,19.98465669
1043,3.579,20.00383583
1044,3.579,20.02301496
1045,3.579,20.04219409
1046,3.579,20.06137323
1047,3.579,20.08055236
1048,3.579,20.09973149
1049,3.579,20.11891063
1050,3.579,20.13808976
1051,3.579,20.15726889
1052,3.579,20.17644802
1053,3.579,20.19562716
1054,3.579,20.21480629
1055,3.579,20.23398542
1056,3.579,20.25316456
1057,3.579,20.27234369
1058,3.579,20.29152282
1059,3.579,20.31070196
1060,3.579,20.32988109
1061,3.58,20.34906022
1062,3.581,20.36823936
1063,3.58,20.38741849
1064,3.579,20.40659762
1065,3.58,20.42577675
1066,3.581,20.44495589
1067,3.581,20.46413502
1068,3.581,20.48331415
1069,3.581,20.50249329
1070,3.581,20.52167242
1071,3.58,20.54085155
1072,3.579,20.56003069
1073,3.584,20.57920982
1074,3.589,20.59838895
1075,3.586,20.61756809
1076,3.583,20.63674722
1077,3.584,20.65592635
1078,3.585,20.67510549
1079,3.5855,20.69428462
1080,3.586,20.71346375
1081,3.5855,20.73264288
1082,3.585,20.75182202
1083,3.587,20.77100115
1084,3.589,20.79018028
